Date,"Total.Prec","Mean.Temp","Min.Temp","Max.Temp"
1990-01-01,NA,NA,NA,NA
1990-02-01,NA,NA,NA,NA
1990-03-01,NA,NA,NA,NA
1990-04-01,105,NA,NA,NA
1990-05-01,63,NA,NA,NA
1990-06-01,33.6,NA,NA,NA
1990-07-01,6.3,NA,NA,NA
1990-08-01,2.1,NA,NA,NA
1990-09-01,1,NA,NA,NA
1990-10-01,79.8,NA,NA,NA
1990-11-01,61.6,NA,NA,NA
1990-12-01,114.7,NA,NA,NA
1991-01-01,24.7,NA,NA,NA
1991-02-01,61.8,NA,NA,NA
1991-03-01,173.6,NA,NA,NA
1991-04-01,75.2,NA,NA,NA
1991-05-01,36,NA,NA,NA
1991-06-01,20.1,NA,NA,NA
1991-07-01,0.3,NA,NA,NA
1991-08-01,1.9,NA,NA,NA
1991-09-01,9.1,NA,NA,NA
1991-10-01,46.7,NA,NA,NA
1991-11-01,84.1,NA,NA,NA
1991-12-01,82.8,NA,NA,NA
1992-01-01,NA,NA,NA,NA
1992-02-01,NA,NA,NA,NA
1992-03-01,NA,NA,NA,NA
1992-04-01,NA,NA,NA,NA
1992-05-01,NA,NA,NA,NA
1992-06-01,NA,NA,NA,NA
1992-07-01,NA,NA,NA,NA
1992-08-01,NA,NA,NA,NA
1992-09-01,NA,NA,NA,NA
1992-10-01,NA,NA,NA,NA
1992-11-01,NA,NA,NA,NA
1992-12-01,NA,NA,NA,NA
1993-01-01,NA,NA,NA,NA
1993-02-01,NA,NA,NA,NA
1993-03-01,NA,NA,NA,NA
1993-04-01,NA,NA,NA,NA
1993-05-01,NA,NA,NA,NA
1993-06-01,NA,NA,NA,NA
1993-07-01,NA,NA,NA,NA
1993-08-01,NA,NA,NA,NA
1993-09-01,NA,NA,NA,NA
1993-10-01,NA,NA,NA,NA
1993-11-01,NA,NA,NA,NA
1993-12-01,NA,NA,NA,NA
1994-01-01,NA,NA,NA,NA
1994-02-01,NA,NA,NA,NA
1994-03-01,NA,NA,NA,NA
1994-04-01,NA,NA,NA,NA
1994-05-01,NA,NA,NA,NA
1994-06-01,NA,NA,NA,NA
1994-07-01,NA,NA,NA,NA
1994-08-01,NA,NA,NA,NA
1994-09-01,NA,NA,NA,NA
1994-10-01,NA,NA,NA,NA
1994-11-01,NA,NA,NA,NA
1994-12-01,NA,NA,NA,NA
1995-01-01,30.8,22.1,NA,28.3
1995-02-01,136.2,21.4,NA,28.1
1995-03-01,130.7,21.1,NA,27.4
1995-04-01,107.4,21.5,NA,27.5
1995-05-01,32.6,21.1,NA,27.3
1995-06-01,0,22,NA,28.2
