Date,"Total.Prec","Mean.Temp","Min.Temp","Max.Temp"
1990-01-01,56.3,26.8,22.7,31.7
1990-02-01,302.7,26,22.6,30.6
1990-03-01,177.6,27.1,23.1,32.1
1990-04-01,110.8,26.4,22.9,31.1
1990-05-01,28.4,26.1,22.1,30.6
1990-06-01,43.8,25.4,21.9,29.4
1990-07-01,0.2,24,20.3,28.5
1990-08-01,0.1,23.6,19.8,28.5
1990-09-01,0.4,23.9,20.3,29.1
1990-10-01,4.5,24.4,20.7,29.1
1990-11-01,0.5,25,21,29.8
1990-12-01,67.9,26.2,21.7,31.1
1991-01-01,60.5,26.7,22.5,31.8
1991-02-01,448.4,26.3,22.7,31.1
1991-03-01,222.4,27.3,23.2,32
1991-04-01,10.8,27.2,22.6,32.4
1991-05-01,25.7,26.8,22.6,31.8
1991-06-01,1.4,25.3,21.4,30
1991-07-01,1.4,24.2,20.7,28.3
1991-08-01,0.4,24,20.6,28
1991-09-01,0.9,23.6,19.9,28.1
1991-10-01,0.6,25,21.2,29.3
1991-11-01,1.7,25.5,22.1,29.8
1991-12-01,58.8,26.4,22.7,30.8
1992-01-01,127.3,26.5,23.2,31
1992-02-01,628.7,26.4,23.2,30.8
1992-03-01,687.5,26.7,23.9,31.6
1992-04-01,506.4,27.1,24.1,32
1992-05-01,382.4,26.9,23.6,31.4
1992-06-01,11.8,25.8,22.6,29.9
1992-07-01,5.9,24.4,20.8,28.5
1992-08-01,0.3,23.7,20.5,28
1992-09-01,0.1,23.8,20.5,28.1
1992-10-01,0.7,24.5,20.5,28.9
1992-11-01,3.7,24.5,20.9,28.6
1992-12-01,4.2,25.6,21.5,30
1993-01-01,237.6,26,22.2,30.5
1993-02-01,668.5,25.7,22.5,30.2
1993-03-01,389.5,26.6,22.9,31.2
1993-04-01,275.2,27,23.2,31.9
1993-05-01,59,26.6,23.2,31.2
1993-06-01,0.5,25.4,22,29.6
1993-07-01,1.1,24.7,21.3,29
1993-08-01,0,24,20.1,28.6
1993-09-01,0,24.5,20.6,28.8
1993-10-01,2,24.6,21,29.1
1993-11-01,0.4,24.8,21.6,29.1
1993-12-01,147,26.1,22.1,30.7
1994-01-01,255,25.8,22.6,29.9
1994-02-01,318.1,25.8,22.9,30.1
1994-03-01,264.2,26.2,22.9,30.6
1994-04-01,198.9,26.3,22.8,30.8
1994-05-01,43.9,26.1,22.7,30.4
1994-06-01,0.2,24.4,21.4,28.2
1994-07-01,0,23,19.5,27.3
1994-08-01,0,22.9,19.6,27.4
1994-09-01,0.2,24,19.7,29.7
1994-10-01,0.6,24.9,21.3,29.4
1994-11-01,4.4,24.9,21.6,29
1994-12-01,139,26.3,22.7,30.7
1995-01-01,308.1,26.2,23,30.5
1995-02-01,203.2,26.1,23.1,30.3
1995-03-01,159.7,27.1,22.7,32.1
1995-04-01,108,26.7,23.1,31.8
1995-05-01,15.6,26.4,22.9,31.1
1995-06-01,0,25.8,21.9,30.7
1995-07-01,3.9,24.9,21.3,29.5
1995-08-01,0.1,24.8,21,29.8
1995-09-01,0.6,24.8,20.9,29.7
1995-10-01,0.2,24.8,21.3,28.8
1995-11-01,2.1,25.2,21.2,29.5
1995-12-01,17.6,26.1,21.9,30.7
1996-01-01,79.5,26,22.3,30.2
1996-02-01,355.7,26.1,22.3,30.2
1996-03-01,338.6,26.6,23,30.8
1996-04-01,42,26.6,22.2,30.9
1996-05-01,0.8,26.1,22.1,30.4
1996-06-01,0.1,23.8,20.4,27.9
1996-07-01,0.5,23.1,19.5,27.7
1996-08-01,0,23.9,20,28.8
1996-09-01,0.1,24.3,20.3,29.2
1996-10-01,0,24,20.2,28.9
1996-11-01,1,24.7,20.6,30
1996-12-01,8.6,26.7,22,31.5
1997-01-01,208.6,25.7,22.1,29.7
1997-02-01,487.2,26.2,22.6,30.5
1997-03-01,680,26.8,23.2,30.8
1997-04-01,381.5,26.8,23.1,30.9
1997-05-01,99.5,27.4,24,31.5
1997-06-01,200.5,27,23.6,30.9
1997-07-01,156.3,27,23.5,31.1
1997-08-01,31.7,26.6,23,30.7
1997-09-01,127.1,26.5,23,30.9
1997-10-01,30.5,26.9,23.6,30.9
1997-11-01,551.2,26.6,23.5,30.5
1997-12-01,595.5,27.1,24,31.6
1998-01-01,712.7,24.6,24.6,31.7
1998-02-01,846,24.4,24.4,31.8
1998-03-01,966.4,24.2,24.2,32.2
1998-04-01,957.3,24,24,32.4
1998-05-01,517.8,24.4,24.4,31.6
1998-06-01,91.4,23.2,23.2,30.6
1998-07-01,33.8,22.4,22.4,29.4
1998-08-01,0,21,21,28.6
1998-09-01,0.5,21.3,21.3,29
1998-10-01,0.4,21,21,28.9
1998-11-01,0.9,21.1,21.1,29.2
1998-12-01,3.2,21.7,21.7,30.2
1999-01-01,113.5,26.4,22.2,30.5
1999-02-01,519.8,25.4,22.3,29.4
1999-03-01,NA,NA,NA,NA
1999-04-01,207.5,26.3,22.3,30.7
1999-05-01,60.3,25.7,22,29.4
1999-06-01,2.1,23.7,20.2,27.4
1999-07-01,0,23.5,20,27.1
1999-08-01,0,23,18.9,27.1
1999-09-01,2.9,24.1,20.3,28
1999-10-01,3.5,24.7,20.7,28.4
1999-11-01,3.8,25,20.5,29.1
1999-12-01,82,25.3,21.5,28.8
2000-01-01,110.1,25.7,21.3,29.5
2000-02-01,221.4,25.6,22,29.6
2000-03-01,284.9,26.1,22.2,30
2000-04-01,164.1,26.5,22.7,30.5
2000-05-01,134.1,25.4,21.7,28.9
2000-06-01,5.9,23.9,20.6,27.2
2000-07-01,0,22.8,19.5,26.4
2000-08-01,0,23.4,19.7,27.9
2000-09-01,3.5,23.9,20.1,28.3
2000-10-01,2,24.6,21,28.7
