Date,"Total.Prec","Mean.Temp","Min.Temp","Max.Temp"
1990-01-01,29,23,19.2,27.4
1990-02-01,387.5,24.6,19.9,28.7
1990-03-01,69.1,25.4,19.2,30
1990-04-01,37.6,25.1,20,29.5
1990-05-01,22,23.7,19.3,27.4
1990-06-01,50,21.7,17.6,25.4
1990-07-01,53.8,20.2,15.8,23.5
1990-08-01,53.4,19.5,15,22.9
1990-09-01,69.4,19.8,15.1,23.3
1990-10-01,70,19.3,14.9,22.5
1990-11-01,117.5,20,15.9,23
1990-12-01,48,21.4,16.7,25.1
1991-01-01,56.3,23.1,18,27.5
1991-02-01,384.5,24.5,19.8,28.8
1991-03-01,326.6,25.4,20.3,29.6
1991-04-01,11.5,25.1,18.9,29.8
1991-05-01,8.8,24.6,18.5,29.1
1991-06-01,69.4,22.4,16.9,26.5
1991-07-01,80.3,20.9,16,24.5
1991-08-01,63.8,20.3,15.2,24
1991-09-01,51.6,20.2,15.3,24
1991-10-01,67.7,20.6,15.5,24.4
1991-11-01,47,21.5,16.7,25.8
1991-12-01,306,21.8,17.7,25.3
1992-01-01,461.5,23.2,19.1,26.6
1992-02-01,242.1,25.3,19.9,29.9
1992-03-01,169.3,26.2,19.5,30.8
1992-04-01,415.2,26,19.9,30.3
1992-05-01,226.7,25.2,19.2,29.6
1992-06-01,36.3,22.5,17.2,26.8
1992-07-01,18.8,20.7,15.4,25.2
1992-08-01,108,19.5,14.3,23.3
1992-09-01,36.1,19.3,13.6,23.3
1992-10-01,77.3,20,14.5,24.2
1992-11-01,35.5,20.4,15.1,24.7
1992-12-01,33.9,21.2,16.2,25.8
1993-01-01,98.7,22.6,17.2,27.9
1993-02-01,313,24.1,18.3,29.3
1993-03-01,265.1,25,17.6,30.7
1993-04-01,194.3,25.4,18.1,30.7
1993-05-01,102.3,24.1,18.4,28.6
1993-06-01,48.9,23,17.4,27.4
1993-07-01,107.3,20.9,15.5,24.7
1993-08-01,58.5,20.5,14.2,24.9
1993-09-01,NA,NA,NA,NA
1993-10-01,NA,NA,NA,NA
1993-11-01,69.9,21.1,15.5,25.7
1993-12-01,113.7,22.3,16.3,27.1
1994-01-01,89,23.1,17.2,28.2
1994-02-01,309,24.1,17.3,29.4
1994-03-01,0,24.7,16.4,30.7
1994-04-01,0,24.7,16.2,30.4
1994-05-01,0.7,23.5,16.1,28.8
1994-06-01,57.8,21.4,15.4,25.3
1994-07-01,126.9,20.6,15.1,24.3
1994-08-01,116.8,18.7,12.7,22.4
1994-09-01,61.1,19.2,13.2,23
1994-10-01,45,20.2,14.1,24.7
1994-11-01,53.8,21.2,15.4,25.7
1994-12-01,361.7,22.3,16.9,26.3
1995-01-01,340.9,23.8,18.1,28.1
1995-02-01,20.4,24.9,17,30.3
1995-03-01,5.2,24.9,16.2,30.9
1995-04-01,0,24.3,16.3,30.1
1995-05-01,0,23.3,15.6,28.8
1995-06-01,21.3,21.8,15,26.7
1995-07-01,61,20,13.9,24.1
1995-08-01,69.5,18.9,12.6,22.3
1995-09-01,101,18.7,12.8,22.2
1995-10-01,65.5,19,13.8,22.6
1995-11-01,52.4,20.4,14.3,24.6
1995-12-01,36.4,21,14.6,25.5
1996-01-01,19,NA,NA,NA
1996-02-01,46.1,NA,NA,NA
1996-03-01,113.6,NA,NA,NA
1996-04-01,0,NA,NA,NA
1996-05-01,1.7,NA,NA,NA
1996-06-01,21.6,NA,NA,NA
1996-07-01,NA,NA,NA,NA
1996-08-01,NA,NA,NA,NA
1996-09-01,NA,NA,NA,NA
1996-10-01,NA,NA,NA,NA
1996-11-01,NA,NA,NA,NA
1996-12-01,NA,NA,NA,NA
1997-01-01,NA,NA,NA,NA
1997-02-01,NA,NA,NA,NA
1997-03-01,NA,NA,NA,NA
1997-04-01,NA,NA,NA,NA
1997-05-01,NA,NA,NA,NA
1997-06-01,NA,NA,NA,NA
1997-07-01,NA,NA,NA,NA
1997-08-01,NA,NA,NA,NA
1997-09-01,NA,NA,NA,NA
1997-10-01,NA,NA,NA,NA
1997-11-01,NA,NA,NA,NA
1997-12-01,NA,NA,NA,NA
1998-01-01,NA,NA,NA,NA
1998-02-01,NA,NA,NA,NA
1998-03-01,NA,NA,NA,NA
1998-04-01,NA,NA,NA,NA
1998-05-01,NA,NA,NA,NA
1998-06-01,NA,NA,NA,NA
1998-07-01,NA,NA,NA,NA
1998-08-01,NA,NA,NA,NA
1998-09-01,NA,NA,NA,NA
1998-10-01,NA,NA,NA,NA
1998-11-01,NA,NA,NA,NA
1998-12-01,NA,NA,NA,NA
1999-01-01,NA,NA,NA,NA
1999-02-01,NA,NA,NA,NA
