Date,"Total.Prec","Mean.Temp","Min.Temp","Max.Temp"
1990-01-01,57,NA,NA,NA
1990-02-01,225.2,NA,NA,NA
1990-03-01,83.5,NA,NA,NA
1990-04-01,137.9,NA,NA,NA
1990-05-01,59.5,NA,NA,NA
1990-06-01,19.7,NA,NA,NA
1990-07-01,0.5,NA,NA,NA
1990-08-01,6.9,NA,NA,NA
1990-09-01,3,NA,NA,NA
1990-10-01,36.1,NA,NA,NA
1990-11-01,9,NA,NA,NA
1990-12-01,87.3,NA,NA,NA
1991-01-01,127,NA,NA,NA
1991-02-01,156.1,NA,NA,NA
1991-03-01,156.3,NA,NA,NA
1991-04-01,102.7,NA,NA,NA
1991-05-01,NA,NA,NA,NA
1991-06-01,26.5,NA,NA,NA
1991-07-01,10,NA,NA,NA
1991-08-01,0,NA,NA,NA
1991-09-01,7.8,NA,NA,NA
1991-10-01,4.6,NA,NA,NA
1991-11-01,37.6,NA,NA,NA
1991-12-01,56.9,NA,NA,NA
1992-01-01,149.7,NA,NA,NA
1992-02-01,172.4,NA,NA,NA
1992-03-01,258.4,NA,NA,NA
1992-04-01,190.1,NA,NA,NA
1992-05-01,148.9,NA,NA,NA
1992-06-01,9.9,NA,NA,NA
1992-07-01,1.5,NA,NA,NA
1992-08-01,0,NA,NA,NA
1992-09-01,6.5,NA,NA,NA
1992-10-01,7.5,NA,NA,NA
1992-11-01,18,NA,NA,NA
1992-12-01,35.5,NA,NA,NA
1993-01-01,258.4,NA,NA,NA
1993-02-01,253.5,NA,NA,NA
1993-03-01,295.2,NA,NA,NA
1993-04-01,236.4,NA,NA,NA
1993-05-01,63.4,NA,NA,NA
1993-06-01,12,NA,NA,NA
1993-07-01,7.5,NA,NA,NA
1993-08-01,3,NA,NA,NA
1993-09-01,23.5,NA,NA,NA
1993-10-01,18.1,NA,NA,NA
1993-11-01,32.3,NA,NA,NA
1993-12-01,182.7,NA,NA,NA
1994-01-01,NA,NA,NA,NA
1994-02-01,NA,NA,NA,NA
1994-03-01,NA,NA,NA,NA
1994-04-01,NA,NA,NA,NA
1994-05-01,NA,NA,NA,NA
1994-06-01,NA,NA,NA,NA
1994-07-01,NA,NA,NA,NA
1994-08-01,NA,NA,NA,NA
1994-09-01,NA,NA,NA,NA
1994-10-01,NA,NA,NA,NA
1994-11-01,NA,NA,NA,NA
1994-12-01,NA,NA,NA,NA
1995-01-01,94.9,NA,NA,NA
1995-02-01,143.7,NA,NA,NA
1995-03-01,161.6,NA,NA,NA
1995-04-01,187,NA,NA,NA
1995-05-01,75,NA,NA,NA
1995-06-01,NA,NA,NA,NA
1995-07-01,NA,NA,NA,NA
1995-08-01,2.3,NA,NA,NA
1995-09-01,18,NA,NA,NA
1995-10-01,5,NA,NA,NA
1995-11-01,30,NA,NA,NA
1995-12-01,34.6,NA,NA,NA
1996-01-01,204.1,NA,NA,NA
1996-02-01,259.2,NA,NA,NA
1996-03-01,204.5,NA,NA,NA
1996-04-01,111.5,NA,NA,NA
1996-05-01,71.5,NA,NA,NA
1996-06-01,8,NA,NA,NA
1996-07-01,0,NA,NA,NA
1996-08-01,0,NA,NA,NA
1996-09-01,4.2,NA,NA,NA
1996-10-01,22,NA,NA,NA
1996-11-01,7.6,NA,NA,NA
1996-12-01,59,NA,NA,NA
1997-01-01,166.7,NA,NA,NA
1997-02-01,93.7,NA,NA,NA
1997-03-01,NA,NA,NA,NA
1997-04-01,140.2,NA,NA,NA
1997-05-01,132.1,NA,NA,NA
1997-06-01,36,NA,NA,NA
1997-07-01,8,NA,NA,NA
1997-08-01,0,NA,NA,NA
1997-09-01,63.4,NA,NA,NA
1997-10-01,75.6,NA,NA,NA
1997-11-01,295.8,NA,NA,NA
1997-12-01,237.3,NA,NA,NA
1998-01-01,229.8,NA,NA,NA
1998-02-01,218.5,NA,NA,NA
1998-03-01,242.7,NA,NA,NA
1998-04-01,197,NA,NA,NA
1998-05-01,216,NA,NA,NA
1998-06-01,34,NA,NA,NA
1998-07-01,6.1,NA,NA,NA
1998-08-01,15.2,NA,NA,NA
1998-09-01,15.3,NA,NA,NA
1998-10-01,9,NA,NA,NA
1998-11-01,9.7,NA,NA,NA
1998-12-01,20.3,NA,NA,NA
1999-01-01,118.7,NA,NA,NA
1999-02-01,345.7,NA,NA,NA
1999-03-01,213.7,NA,NA,NA
1999-04-01,167.7,NA,NA,NA
1999-05-01,128.4,NA,NA,NA
1999-06-01,42.7,NA,NA,NA
1999-07-01,12,NA,NA,NA
1999-08-01,6.2,NA,NA,NA
1999-09-01,59.5,NA,NA,NA
1999-10-01,47.1,NA,NA,NA
1999-11-01,12.3,NA,NA,NA
1999-12-01,NA,NA,NA,NA
